course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,province,Córdoba,mujer,3º E.S.O.,93,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,4º E.S.O.,85,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,BACHILLERATO,151,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,FP BÁSICA,0,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,FP GRADO MEDIO,0,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,mujer,FP GRADO SUPERIOR,2,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,TOTAL,2863,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. INFANTIL 2.º CICLO,5,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,TOTAL PRIMARIA,1122,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. Primaria 1.º,59,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. Primaria 2.º,198,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. Primaria 3.º,201,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. Primaria 4.º,208,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. Primaria 5.º,219,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,E. Primaria 6.º,237,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,TOTAL ESO,1123,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,1º E.S.O.,222,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,2º E.S.O.,286,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,3º E.S.O.,277,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,4º E.S.O.,338,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,BACHILLERATO,603,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,FP BÁSICA,4,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,FP GRADO MEDIO,0,educabase-otros-03-2024-2025
2024-2025,province,Granada,total,FP GRADO SUPERIOR,6,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,TOTAL,1747,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. INFANTIL 2.º CICLO,3,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,TOTAL PRIMARIA,697,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. Primaria 1.º,39,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. Primaria 2.º,124,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. Primaria 3.º,112,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. Primaria 4.º,139,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. Primaria 5.º,130,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,E. Primaria 6.º,153,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,TOTAL ESO,698,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,1º E.S.O.,146,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,2º E.S.O.,182,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,3º E.S.O.,168,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,4º E.S.O.,202,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,BACHILLERATO,340,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,FP BÁSICA,3,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,FP GRADO MEDIO,0,educabase-otros-03-2024-2025
2024-2025,province,Granada,hombre,FP GRADO SUPERIOR,6,educabase-otros-03-2024-2025
2024-2025,province,Granada,mujer,TOTAL,1116,educabase-otros-03-2024-2025
2024-2025,province,Granada,mujer,E. INFANTIL 2.º CICLO,2,educabase-otros-03-2024-2025
2024-2025,province,Granada,mujer,TOTAL PRIMARIA,425,educabase-otros-03-2024-2025
2024-2025,province,Granada,mujer,E. Primaria 1.º,20,educabase-otros-03-2024-2025
2024-2025,province,Granada,mujer,E. Primaria 2.º,74,educabase-otros-03-2024-2025
